# Data source: https://houseofgraphs.org/graphs/35481 (Hanoi graph / Sierpinski triangle, level 5)
243
-5.551115123125783e-16 1.113482335976928 237 238
1.0888186261441182 -1.0359822308998723 239 240
-1.1107317342839753 -1.0098672055492885 241 242
0.0757894736842113 -1.0392501802451317 4 6 51
0.11368421052631517 -0.9650180245133373 3 5 52
0.1578947368421053 -0.89753424657534 4 8 52
0.0378947368421052 -1.1134823359769261 3 7 51
-0.03789473684210476 -1.1134823359769257 6 9 54
0.1957894736842094 -0.8233020908435464 5 10 53
-0.07578947368421052 -1.0392501802451308 7 12 54
0.23368421052631483 -0.7490699351117507 8 11 53
0.2715789473684205 -0.6815861571737556 10 14 56
-0.11368421052631705 -0.9650180245133373 9 13 55
-0.1578947368421051 -0.89753424657534 12 16 55
0.309473684210525 -0.6073540014419603 11 15 56
0.34736842105263177 -0.5398702235039656 14 18 58
-0.19578947368421085 -0.8233020908435464 13 17 57
-0.23368421052631505 -0.7490699351117516 16 20 57
0.38526315789473564 -0.46563806777216943 15 19 58
0.4231578947368413 -0.39140591204037456 18 22 60
-0.2715789473684209 -0.6815861571737565 17 21 59
-0.3094736842105269 -0.6073540014419612 20 24 59
0.46736842105263077 -0.3239221341023786 19 23 60
0.5052631578947366 -0.2496899783705835 22 25 62
-0.34736842105263177 -0.5398702235039651 21 26 61
0.543157894736841 -0.18220620043258795 23 28 62
-0.38526315789473653 -0.4656380677721703 24 27 61
-0.4231578947368425 -0.3914059120403748 26 30 64
0.5810526315789463 -0.10797404470079286 25 29 63
0.6189473684210522 -0.03374188896899799 28 31 63
-0.4673684210526313 -0.3239221341023779 27 32 64
0.5810526315789466 0.033741888968998324 29 33 66
-0.5052631578947362 -0.24968997837058282 30 34 65
0.5052631578947366 0.03374188896899788 31 36 66
-0.5431578947368418 -0.18220620043258773 32 35 65
-0.5810526315789472 -0.1079740447007933 34 38 68
0.42315789473684196 0.03374188896899788 33 37 67
0.3473684210526313 0.033741888968997547 36 39 67
-0.6189473684210526 -0.03374188896899799 35 40 68
0.2715789473684207 0.03374188896899777 37 41 70
-0.5810526315789462 0.033741888968998324 38 42 69
0.19578947368420963 0.03374188896899788 39 44 70
-0.5052631578947366 0.03374188896899788 40 43 69
-0.4231578947368413 0.03374188896899777 42 46 72
0.11368421052631605 0.03374188896899788 41 45 71
